ticker,ex_dividend_date,payment_date,amount
MRU,2019-05-15,2019-06-07,$0.20
MRU,2019-02-13,2019-03-12,$0.20
MRU,2018-10-25,2018-11-13,$0.18
MRU,2018-09-04,2018-09-26,$0.18
MRU,2018-05-02,2018-05-25,$0.18
MRU,2018-02-14,2018-03-13,$0.18
MRU,2017-10-26,2017-11-14,$0.1625
MRU,2017-08-31,2017-09-26,$0.1625
MRU,2017-05-19,2017-06-15,$0.1625
MRU,2017-02-13,2017-03-13,$0.1625
MRU,2016-10-26,2016-11-14,$0.14
MRU,2016-08-31,2016-09-23,$0.14
MRU,2016-05-16,2016-06-09,$0.14
MRU,2016-02-12,2016-03-15,$0.14
MRU,2015-11-04,2015-11-25,$0.1167
MRU,2015-08-28,2015-09-21,$0.1167
MRU,2015-05-19,2015-06-12,$0.1167
MRU,2015-02-13,2015-03-16,$0.1167
MRU,2014-11-05,2014-11-26,$0.10
MRU,2014-08-28,2014-09-19,$0.10
MRU,2014-05-13,2014-06-06,$0.10
MRU,2014-02-13,2014-03-14,$0.10
MRU,2013-11-06,2013-11-27,$0.08333333
MRU,2013-08-29,2013-09-20,$0.08333333
MRU,2013-05-21,2013-06-14,$0.08333333
MRU,2013-02-14,2013-03-15,$0.08333333
MRU,2012-10-30,2012-11-21,$0.07166667
MRU,2012-08-23,2012-09-13,$0.07166667
MRU,2012-05-15,2012-06-08,$0.07166667
MRU,2012-02-09,2012-03-09,$0.07166667
MRU,2011-10-24,2011-11-16,$0.06416667
MRU,2011-08-22,2011-09-07,$0.06416667
MRU,2011-05-12,2011-06-07,$0.06416667
MRU,2011-02-09,2011-03-08,$0.06416667
MRU,2010-10-22,2010-11-16,$0.05666667
MRU,2010-08-17,2010-09-03,$0.05666667
MRU,2010-05-14,2010-06-08,$0.05666667
MRU,2010-02-10,2010-03-08,$0.05666667
MRU,2009-10-23,2009-11-17,$0.04583333
MRU,2009-08-18,2009-09-04,$0.04583333
MRU,2009-05-14,2009-06-09,$0.04583333
MRU,2009-02-11,2009-03-09,$0.04583333
MRU,2008-10-24,2008-11-18,$0.04166667
MRU,2008-08-15,2008-09-03,$0.04166667
MRU,2008-05-08,2008-06-02,$0.04166667
MRU,2008-02-13,2008-03-10,$0.04166667
MRU,2007-10-26,2007-11-20,$0.03833333
MRU,2007-08-17,2007-09-11,$0.03833333
MRU,2007-05-10,2007-06-04,$0.03833333
MRU,2007-02-07,2007-03-05,$0.03833333
MRU,2006-10-27,2006-11-21,$0.035
MRU,2006-08-17,2006-09-11,$0.035
MRU,2006-05-04,2006-05-29,$0.035
MRU,2006-02-07,2006-03-03,$0.035
MRU,2005-10-28,2005-11-22,$0.03333333
MRU,2005-08-18,2005-09-12,$0.03333333
MRU,2005-05-05,2005-05-30,$0.03333333
MRU,2005-02-04,2005-03-01,$0.03333333
MRU,2004-11-04,2004-11-29,$0.02833333
MRU,2004-08-12,2004-09-06,$0.02833333
MRU,2004-04-30,2004-05-25,$0.02833333
MRU,2004-02-06,2004-03-02,$0.02833333
MRU,2004-01-06,2004-01-30,$0.02833333
MRU,2003-11-06,2003-12-01,$0.02333333
MRU,2003-08-14,2003-09-08,$0.02333333
MRU,2003-05-08,2003-06-06,$0.02333333
MRU,2003-02-06,2003-03-05,$0.02333333
MRU,2002-11-06,2002-12-02,$0.01833333
MRU,2002-08-14,2002-09-09,$0.01833333
MRU,2002-05-06,2002-05-31,$0.01833333
MRU,2002-02-08,2002-03-05,$0.01833333
MRU,2001-11-05,2001-11-30,$0.03
MRU,2001-08-22,2001-09-17,$0.03
MRU,2001-05-07,2001-06-04,$0.03
MRU,2001-02-08,2001-03-05,$0.03
MRU,2000-11-03,2000-11-28,$0.025
MRU,2000-08-15,2000-09-08,$0.025
MRU,2000-05-05,2000-05-30,$0.025
MRU,2000-02-04,2000-02-29,$0.025
MRU,1999-11-05,1999-11-30,$0.02166667
RY,2024-01-25,2024-02-24,$1.35**
RY,2023-10-25,2023-11-24,$1.35**
RY,2023-07-25,2023-08-24,$1.35
RY,2023-04-24,2023-05-24,$1.32
RY,2023-01-25,2023-02-24,$1.32
RY,2022-10-25,2022-11-24,$1.28
RY,2022-07-25,2022-08-24,$1.28
RY,2022-04-22,2022-05-24,$1.20
RY,2022-01-25,2022-02-24,$1.20
RY,2021-10-25,2021-11-24,$1.08
RY,2021-07-23,2021-08-24,$1.08
RY,2021-04-21,2021-05-21,$1.08
RY,2021-01-25,2021-02-24,$1.08
RY,2020-10-23,2020-11-24,$1.08
RY,2020-07-24,2020-08-24,$1.08
RY,2020-04-22,2020-05-22,$1.08
RY,2020-01-24,2020-02-24,$1.05
RY,2019-10-23,2019-11-22,$1.05
RY,2019-07-24,2019-08-23,$1.02
RY,2019-04-24,2019-05-24,$1.02
RY,2019-01-23,2019-02-22,$0.98
RY,2018-10-24,2018-11-23,$0.98
RY,2018-07-25,2018-08-24,$0.94
RY,2018-04-24,2018-05-24,$0.94
RY,2018-01-24,2018-02-23,$0.91
RY,2017-10-25,2017-11-24,$0.91
RY,2017-07-24,2017-08-24,$0.87
RY,2017-04-21,2017-05-24,$0.87
RY,2017-01-24,2017-02-24,$0.83
RY,2016-10-24,2016-11-24,$0.83
RY,2016-07-22,2016-08-24,$0.81
RY,2016-04-21,2016-05-24,$0.81
RY,2016-01-22,2016-02-24,$0.79
RY,2015-10-22,2015-11-24,$0.79
RY,2015-07-23,2015-08-24,$0.77
RY,2015-04-21,2015-05-22,$0.77
RY,2015-01-22,2015-02-24,$0.75
RY,2014-10-23,2014-11-24,$0.75
RY,2014-07-22,2014-08-22,$0.71
RY,2014-04-22,2014-05-23,$0.71
RY,2014-01-23,2014-02-24,$0.67
RY,2013-10-22,2013-11-22,$0.67
RY,2013-07-23,2013-08-23,$0.63
RY,2013-04-23,2013-05-24,$0.63
RY,2013-01-22,2013-02-22,$0.60
RY,2012-10-23,2012-11-23,$0.60
RY,2012-07-24,2012-08-24,$0.57
RY,2012-04-23,2012-05-24,$0.57
RY,2012-01-24,2012-02-24,$0.54
RY,2011-10-24,2011-11-24,$0.54
RY,2011-07-22,2011-08-24,$0.54
RY,2011-04-21,2011-05-24,$0.50
RY,2011-01-24,2011-02-24,$0.50
RY,2010-10-22,2010-11-24,$0.50
RY,2010-07-22,2010-08-24,$0.50
RY,2010-04-20,2010-05-21,$0.50
RY,2010-01-22,2010-02-24,$0.50
RY,2009-10-22,2009-11-24,$0.50
RY,2009-07-23,2009-08-24,$0.50
RY,2009-04-21,2009-05-22,$0.50
RY,2009-01-22,2009-02-24,$0.50
RY,2008-10-23,2008-11-24,$0.50
RY,2008-07-22,2008-08-22,$0.50
RY,2008-04-22,2008-05-23,$0.50
RY,2008-01-22,2008-02-22,$0.50
RY,2007-10-23,2007-11-23,$0.50
RY,2007-07-24,2007-08-24,$0.46
RY,2007-04-23,2007-05-24,$0.46
RY,2007-01-23,2007-02-23,$0.40
RY,2006-10-24,2006-11-24,$0.40
RY,2006-07-24,2006-08-24,$0.36
RY,2006-04-21,2006-05-24,$0.36
RY,2006-01-24,2006-02-24,$0.32
RY,2005-10-21,2005-11-24,$0.32
RY,2005-07-22,2005-08-24,$0.305
RY,2005-04-21,2005-05-24,$0.275
RY,2005-01-24,2005-02-24,$0.275
RY,2004-10-22,2004-11-24,$0.26
RY,2004-07-22,2004-08-24,$0.26
RY,2004-04-20,2004-05-24,$0.26
RY,2004-01-22,2004-02-24,$0.23
RY,2003-10-23,2003-11-24,$0.23
TD,2024-01-05,2024-01-31,$0.96**
TD,2023-10-06,2023-10-31,$0.96**
TD,2023-07-07,2023-07-31,$0.96
TD,2023-04-05,2023-04-30,$0.96
TD,2023-01-05,2023-01-31,$0.96
TD,2022-10-06,2022-10-31,$0.89
TD,2022-07-07,2022-07-31,$0.89
TD,2022-04-07,2022-04-30,$0.89
TD,2022-01-07,2022-01-31,$0.89
TD,2021-10-07,2021-10-31,$0.79
TD,2021-07-08,2021-07-31,$0.79
TD,2021-04-08,2021-04-30,$0.79
TD,2021-01-07,2021-01-31,$0.79
TD,2020-10-08,2020-10-31,$0.79
TD,2020-07-09,2020-07-31,$0.79
TD,2020-04-08,2020-04-30,$0.79
TD,2020-01-09,2020-01-31,$0.74
TD,2019-10-09,2019-10-31,$0.74
TD,2019-07-09,2019-07-31,$0.74
TD,2019-04-09,2019-04-30,$0.74
TD,2019-01-09,2019-01-31,$0.67
TD,2018-10-09,2018-10-31,$0.67
TD,2018-07-09,2018-07-31,$0.67
TD,2018-04-09,2018-04-30,$0.67
TD,2018-01-09,2018-01-31,$0.60
TD,2017-10-05,2017-10-31,$0.60
TD,2017-07-06,2017-07-31,$0.60
TD,2017-04-06,2017-05-01,$0.60
TD,2017-01-06,2017-01-31,$0.55
TD,2016-10-05,2016-10-31,$0.55
TD,2016-07-06,2016-07-31,$0.55
TD,2016-04-06,2016-04-30,$0.55
TD,2016-01-06,2016-01-29,$0.51
TD,2015-10-02,2015-10-30,$0.51
TD,2015-07-07,2015-07-31,$0.51
TD,2015-04-02,2015-04-30,$0.51
TD,2015-01-02,2015-01-31,$0.47
TD,2014-10-01,2014-10-31,$0.47
TD,2014-07-07,2014-07-31,$0.47
TD,2014-04-01,2014-04-30,$0.47
TD,2014-01-02,2014-01-31,$0.43
TD,2013-10-01,2013-10-31,$0.425
TD,2013-07-05,2013-07-31,$0.405
TD,2013-04-01,2013-04-30,$0.405
TD,2013-01-02,2013-01-31,$0.385
TD,2012-10-01,2012-10-31,$0.385
TD,2012-07-03,2012-07-31,$0.36
TD,2012-04-02,2012-04-30,$0.36
TD,2012-01-03,2012-01-31,$0.34
TD,2011-10-03,2011-10-31,$0.34
TD,2011-07-04,2011-07-31,$0.33
TD,2011-04-01,2011-04-30,$0.33
TD,2011-01-04,2011-01-31,$0.305
TD,2010-10-01,2010-10-31,$0.305
TD,2010-07-02,2010-07-31,$0.305
TD,2010-04-01,2010-04-30,$0.305
TD,2010-01-04,2010-01-31,$0.305
TD,2009-10-01,2009-10-31,$0.305
TD,2009-07-02,2009-07-31,$0.305
TD,2009-04-01,2009-04-30,$0.305
TD,2009-01-02,2009-01-31,$0.305
TD,2008-10-01,2008-10-31,$0.305
TD,2008-07-07,2008-07-31,$0.295
TD,2008-04-01,2008-04-30,$0.295
TD,2008-01-02,2008-01-31,$0.285
TD,2007-10-01,2007-10-31,$0.285
TD,2007-07-03,2007-08-31,$0.265
TD,2007-04-02,2007-05-31,$0.265
TD,2007-01-02,2007-01-31,$0.24
TD,2006-09-12,2006-10-31,$0.24
TD,2006-06-13,2006-07-31,$0.22
TD,2006-03-14,2006-04-27,$0.22
TD,2005-12-13,2006-01-31,$0.21
TD,2005-09-13,2005-10-31,$0.21
TD,2005-06-14,2005-07-29,$0.20
TD,2005-03-15,2005-04-27,$0.20
TD,2004-12-14,2005-01-31,$0.18
TD,2004-09-14,2004-10-29,$0.18
TD,2004-06-15,2004-07-30,$0.17
TD,2004-03-16,2004-04-27,$0.17
TD,2003-12-16,2004-01-30,$0.16
TD,2003-09-16,2003-10-31,$0.16
CNR,2023-12-07,2023-12-29,$0.79**
CNR,2023-09-07,2023-09-29,$0.79**
CNR,2023-06-08,2023-06-30,$0.79
CNR,2023-03-09,2023-03-31,$0.79
CNR,2022-12-07,2022-12-29,$0.7325
CNR,2022-09-07,2022-09-29,$0.7325
CNR,2022-06-08,2022-06-30,$0.7325
CNR,2022-03-09,2022-03-31,$0.7325
CNR,2021-12-08,2021-12-30,$0.615
CNR,2021-09-07,2021-09-29,$0.615
CNR,2021-06-08,2021-06-30,$0.615
CNR,2021-03-09,2021-03-31,$0.615
CNR,2020-12-08,2020-12-30,$0.575
CNR,2020-09-08,2020-09-30,$0.575
CNR,2020-06-08,2020-06-30,$0.575
CNR,2020-03-09,2020-03-31,$0.575
CNR,2019-12-06,2019-12-30,$0.5375
CNR,2019-09-06,2019-09-30,$0.5375
CNR,2019-06-06,2019-06-28,$0.5375
CNR,2019-03-07,2019-03-29,$0.5375
CNR,2018-12-06,2018-12-28,$0.455
CNR,2018-09-06,2018-09-28,$0.455
CNR,2018-06-07,2018-06-29,$0.455
CNR,2018-03-08,2018-03-29,$0.455
CNR,2017-12-07,2017-12-29,$0.4125
CNR,2017-09-07,2017-09-29,$0.4125
CNR,2017-06-07,2017-06-30,$0.4125
CNR,2017-03-08,2017-03-31,$0.4125
CNR,2016-12-07,2016-12-30,$0.375
CNR,2016-09-07,2016-09-30,$0.375
CNR,2016-06-07,2016-06-30,$0.375
CNR,2016-03-08,2016-03-31,$0.375
CNR,2015-12-08,2015-12-31,$0.3125
CNR,2015-09-04,2015-09-30,$0.3125
CNR,2015-06-05,2015-06-30,$0.3125
CNR,2015-03-06,2015-03-31,$0.3125
CNR,2014-12-08,2014-12-31,$0.25
CNR,2014-09-05,2014-09-16,$0.25
CNR,2014-06-05,2014-06-30,$0.25
CNR,2014-03-06,2014-03-31,$0.25
CNR,2013-12-06,2013-12-31,$0.215
CNR,2013-09-05,2013-09-30,$0.215
CNR,2013-06-05,2013-06-28,$0.215
CNR,2013-03-05,2013-03-28,$0.215
CNR,2012-12-06,2012-12-31,$0.1875
CNR,2012-09-05,2012-09-28,$0.1875
CNR,2012-06-06,2012-06-29,$0.1875
CNR,2012-03-07,2012-03-30,$0.1875
CNR,2011-12-07,2011-12-30,$0.1625
CNR,2011-09-07,2011-09-30,$0.1625
CNR,2011-06-07,2011-06-30,$0.1625
CNR,2011-03-08,2011-03-31,$0.1625
CNR,2010-12-08,2010-12-31,$0.135
CNR,2010-09-07,2010-09-30,$0.135
CNR,2010-06-07,2010-06-30,$0.135
CNR,2010-03-08,2010-03-31,$0.135
CNR,2009-12-08,2009-12-31,$0.1262
CNR,2009-09-04,2009-09-30,$0.1262
CNR,2009-06-05,2009-06-29,$0.1262
CNR,2009-03-06,2009-03-27,$0.1262
CNR,2008-12-08,2008-12-29,$0.115
CNR,2008-09-05,2008-09-29,$0.115
CNR,2008-06-05,2008-06-27,$0.115
CNR,2008-03-06,2008-03-28,$0.115
CNR,2007-12-06,2007-12-28,$0.105
CNR,2007-09-05,2007-09-28,$0.105
CNR,2007-06-06,2007-06-28,$0.105
CNR,2007-03-07,2007-03-28,$0.105
CNR,2006-12-06,2006-12-28,$0.0815
CNR,2006-09-06,2006-09-28,$0.0815
CNR,2006-06-07,2006-06-28,$0.0815
CNR,2006-03-08,2006-03-28,$0.0815
CNR,2005-12-07,2005-12-28,$0.0625
CNR,2005-09-07,2005-09-28,$0.0625
CNR,2005-06-07,2005-06-28,$0.0625
CNR,2005-03-08,2005-03-28,$0.0625
CNR,2004-12-08,2004-12-28,$0.04875
CNR,2004-09-08,2004-10-28,$0.04875
CNR,2004-06-07,2004-06-28,$0.04875
CNR,2004-03-04,2004-03-29,$0.04875
CNR,2004-02-19,2004-03-29,$0.04125
CNR,2003-12-04,2003-12-29,$0.04167
CNR,2003-09-05,2003-09-29,$0.04167
CNR,2003-07-29,2003-08-28,$0.04167
CNR,1999-12-06,1999-12-28,$0.025
CNR,1999-09-02,1999-09-28,$0.025
CNR,1999-06-04,1999-06-28,$0.025
CNR,1999-03-03,1999-03-29,$0.025
CNR,1998-12-04,1998-12-28,$0.022085
CNR,1998-09-03,1998-09-28,$0.022085
CNR,1998-06-04,1998-06-29,$0.022085
CNR,1998-03-04,1998-03-27,$0.022085
CNR,1997-12-05,1997-12-29,$0.01917
CNR,1997-09-04,1997-09-29,$0.01917
CNR,1997-06-05,1997-06-27,$0.01917
CNR,1997-03-05,1997-03-28,$0.01917
CNR,1996-12-05,1996-12-27,$0.016665
CP,2023-12-29,2024-01-30,$0.19**
CP,2023-09-29,2023-10-31,$0.19**
CP,2023-06-29,2023-07-31,$0.19
CP,2023-03-30,2023-04-24,$0.19
CP,2022-12-29,2023-01-30,$0.19
CP,2022-09-29,2022-10-31,$0.19
CP,2022-06-23,2022-07-25,$0.19
CP,2022-03-24,2022-04-25,$0.19
CP,2021-12-30,2022-01-31,$0.19
CP,2021-09-23,2021-10-25,$0.19
CP,2021-06-24,2021-07-26,$0.19
CP,2021-03-25,2021-04-26,$0.19
CP,2020-12-30,2021-01-25,$0.19
CP,2020-09-24,2020-10-26,$0.19
CP,2020-06-25,2020-07-27,$0.166
CP,2020-03-26,2020-04-27,$0.166
CP,2019-12-26,2020-01-27,$0.166
CP,2019-09-26,2019-10-28,$0.166
CP,2019-06-27,2019-07-29,$0.166
CP,2019-03-28,2019-04-29,$0.13
CP,2018-12-27,2019-01-28,$0.13
CP,2018-09-27,2018-10-29,$0.13
CP,2018-06-28,2018-07-30,$0.13
CP,2018-03-22,2018-04-30,$0.1125
CP,2017-12-28,2018-01-29,$0.1125
CP,2017-09-28,2017-10-30,$0.1125
CP,2017-06-28,2017-07-31,$0.1125
CP,2017-03-29,2017-04-24,$0.10
CP,2016-12-28,2017-01-30,$0.10
CP,2016-09-28,2016-10-24,$0.10
CP,2016-06-22,2016-07-25,$0.10
CP,2016-03-22,2016-04-25,$0.07
CP,2015-12-29,2016-01-25,$0.07
CP,2015-09-23,2015-10-26,$0.07
CP,2015-06-24,2015-07-27,$0.07
CP,2015-03-25,2015-04-27,$0.07
CP,2014-12-29,2015-01-26,$0.07
CP,2014-09-24,2014-10-27,$0.07
CP,2014-06-25,2014-07-28,$0.07
CP,2014-03-26,2014-04-28,$0.07
CP,2013-12-23,2014-01-27,$0.07
CP,2013-09-25,2013-10-28,$0.07
CP,2013-06-26,2013-07-29,$0.07
CP,2013-03-26,2013-04-29,$0.07
CP,2012-12-24,2013-01-28,$0.07
CP,2012-09-26,2012-10-29,$0.07
CP,2012-06-20,2012-07-30,$0.07
CP,2012-03-28,2012-04-30,$0.07
CP,2011-12-28,2012-01-30,$0.06
CP,2011-09-28,2011-10-31,$0.06
CP,2011-06-22,2011-07-25,$0.06
CP,2011-03-23,2011-04-25,$0.054
CP,2010-12-29,2011-01-31,$0.054
CP,2010-09-22,2010-10-25,$0.054
CP,2010-06-23,2010-07-26,$0.054
CP,2010-03-24,2010-04-26,$0.0495
CP,2009-12-29,2010-01-25,$0.0495
CP,2009-09-23,2009-10-26,$0.0495
CP,2009-06-24,2009-07-27,$0.0495
CP,2009-03-25,2009-04-27,$0.0495
CP,2008-12-22,2009-01-26,$0.0495
CP,2008-09-24,2008-10-31,$0.0495
CP,2008-06-25,2008-07-28,$0.0495
CP,2008-03-26,2008-04-28,$0.0495
CP,2007-12-24,2008-01-25,$0.045
CP,2007-09-26,2007-10-29,$0.045
CP,2007-06-27,2007-07-30,$0.045
CP,2007-03-28,2007-04-30,$0.045
CP,2006-12-27,2007-01-29,$0.0376
CP,2006-09-27,2006-10-30,$0.0376
CP,2006-06-28,2006-07-31,$0.0376
CP,2006-03-29,2006-05-01,$0.0376
CP,2005-12-28,2006-01-30,$0.03
CP,2005-09-28,2005-10-31,$0.03
CP,2005-06-22,2005-07-25,$0.03
CP,2005-03-22,2005-04-25,$0.0266
CP,2004-12-29,2005-01-31,$0.0266
CP,2004-09-22,2004-10-25,$0.0266
CP,2004-06-23,2004-07-26,$0.0256
CP,2004-03-24,2004-04-26,$0.0256
CP,2003-12-22,2004-01-23,$0.0256
CP,2003-09-24,2003-10-27,$0.0256
BMO,2024-01-27,2024-02-28,$1.47**
BMO,2023-10-31,2023-11-28,$1.47**
BMO,2023-07-27,2023-08-28,$1.47
BMO,2023-04-27,2023-05-26,$1.43
BMO,2023-01-27,2023-02-28,$1.43
BMO,2022-10-31,2022-11-28,$1.39
BMO,2022-08-01,2022-08-26,$1.39
BMO,2022-04-29,2022-05-26,$1.33
BMO,2022-01-31,2022-02-28,$1.33
BMO,2021-10-29,2021-11-26,$1.06
BMO,2021-07-30,2021-08-26,$1.06
BMO,2021-04-30,2021-05-26,$1.06
BMO,2021-01-29,2021-02-26,$1.06
BMO,2020-10-30,2020-11-26,$1.06
BMO,2020-07-31,2020-08-26,$1.06
BMO,2020-04-30,2020-05-26,$1.06
BMO,2020-01-31,2020-02-26,$1.06
BMO,2019-10-31,2019-11-26,$1.03
BMO,2019-07-31,2019-08-27,$1.03
BMO,2019-04-30,2019-05-28,$1.00
BMO,2019-01-31,2019-02-26,$1.00
BMO,2018-10-31,2018-11-27,$0.96
BMO,2018-07-31,2018-08-28,$0.96
BMO,2018-04-30,2018-05-28,$0.93
BMO,2018-01-31,2018-02-27,$0.93
BMO,2017-10-31,2017-11-28,$0.90
BMO,2017-07-28,2017-08-28,$0.90
BMO,2017-04-27,2017-05-26,$0.88
BMO,2017-01-30,2017-02-28,$0.88
BMO,2016-10-28,2016-11-28,$0.86
BMO,2016-07-27,2016-08-26,$0.86
BMO,2016-04-28,2016-05-26,$0.84
BMO,2016-01-28,2016-02-26,$0.84
BMO,2015-10-29,2015-11-26,$0.82
BMO,2015-07-30,2015-08-26,$0.82
BMO,2015-04-29,2015-05-26,$0.80
BMO,2015-01-29,2015-02-26,$0.80
BMO,2014-10-30,2014-11-26,$0.78
BMO,2014-07-30,2014-08-26,$0.78
BMO,2014-04-29,2014-05-27,$0.76
BMO,2014-01-30,2014-02-26,$0.76
BMO,2013-10-30,2013-11-26,$0.74
BMO,2013-07-30,2013-08-27,$0.74
BMO,2013-04-29,2013-05-28,$0.74
BMO,2013-01-30,2013-02-26,$0.72
BMO,2012-10-30,2012-11-28,$0.72
BMO,2012-07-30,2012-08-28,$0.70
BMO,2012-04-27,2012-05-28,$0.70
BMO,2012-01-30,2012-02-28,$0.70
BMO,2011-10-28,2011-11-28,$0.70
BMO,2011-07-28,2011-08-26,$0.70
BMO,2011-04-28,2011-05-26,$0.70
BMO,2011-01-28,2011-02-28,$0.70
BMO,2010-10-28,2010-11-26,$0.70
BMO,2010-07-28,2010-08-26,$0.70
BMO,2010-04-29,2010-05-26,$0.70
BMO,2010-01-28,2010-02-26,$0.70
BMO,2009-11-04,2009-11-26,$0.70
BMO,2009-08-05,2009-08-27,$0.70
BMO,2009-04-29,2009-05-28,$0.70
BMO,2009-02-04,2009-02-26,$0.70
BMO,2008-10-29,2008-11-27,$0.70
BMO,2008-07-30,2008-08-28,$0.70
BMO,2008-04-30,2008-05-29,$0.70
BMO,2008-01-30,2008-02-28,$0.70
BMO,2007-10-31,2007-11-29,$0.70
BMO,2007-08-01,2007-08-30,$0.68
BMO,2007-05-02,2007-05-31,$0.68
BMO,2007-01-31,2007-03-03,$0.65
BMO,2006-11-01,2006-11-30,$0.62
BMO,2006-08-02,2006-08-31,$0.62
BMO,2006-05-03,2006-06-03,$0.53
BMO,2006-02-01,2006-03-02,$0.49
BMO,2005-11-02,2005-12-03,$0.49
BMO,2005-08-03,2005-09-03,$0.46
BMO,2005-05-04,2005-06-02,$0.46
BMO,2005-02-02,2005-03-03,$0.44
BMO,2004-11-03,2004-12-02,$0.44
BMO,2004-08-04,2004-09-02,$0.40
BMO,2004-05-05,2004-06-03,$0.40
BMO,2004-02-04,2004-03-04,$0.35
BMO,2003-11-07,2003-12-05,$0.35
BMO,2000-05-03,2000-06-03,$0.25
BMO,1999-11-03,1999-12-02,$0.235
BMO,1999-08-04,1999-09-02,$0.235
BMO,1999-05-05,1999-06-03,$0.235
BMO,1999-02-03,1999-03-04,$0.235
BMO,1998-11-04,1998-12-03,$0.22
BMO,1998-08-05,1998-09-03,$0.22
BMO,1998-05-06,1998-06-04,$0.22
BMO,1998-02-04,1998-03-06,$0.22
BMO,1997-11-05,1997-12-04,$0.22
BMO,1997-08-05,1997-09-03,$0.20
BMO,1997-05-05,1997-06-06,$0.20
BMO,1997-02-05,1997-03-06,$0.20
BMO,1996-11-06,1996-12-06,$0.20
BMO,1996-08-06,1996-09-06,$0.18
BMO,1996-05-06,1996-06-05,$0.18
BMO,1996-02-06,1996-03-06,$0.18
BMO,1995-11-06,1995-12-05,$0.165
BMO,1995-08-03,1995-09-04,$0.165
BMO,1995-05-03,1995-06-03,$0.165
BMO,1995-02-02,1995-03-03,$0.165
BNS,2024-01-03,2024-01-27,$1.06**
BNS,2023-10-03,2023-10-27,$1.06**
BNS,2023-07-03,2023-07-27,$1.06
BNS,2023-04-03,2023-04-26,$1.03
BNS,2023-01-03,2023-01-27,$1.03
BNS,2022-10-03,2022-10-27,$1.03
BNS,2022-07-04,2022-07-27,$1.03
BNS,2022-04-04,2022-04-27,$1.00
BNS,2021-12-31,2022-01-27,$1.00
BNS,2021-10-04,2021-10-27,$0.90
BNS,2021-07-05,2021-07-28,$0.90
BNS,2021-04-05,2021-04-28,$0.90
BNS,2021-01-04,2021-01-27,$0.90
BNS,2020-10-05,2020-10-28,$0.90
BNS,2020-07-06,2020-07-29,$0.90
BNS,2020-04-06,2020-04-28,$0.90
BNS,2020-01-06,2020-01-29,$0.90
BNS,2019-09-30,2019-10-29,$0.90
BNS,2019-06-28,2019-07-29,$0.87
BNS,2019-04-01,2019-04-26,$0.87
BNS,2018-12-31,2019-01-29,$0.85
BNS,2018-10-01,2018-10-29,$0.85
BNS,2018-06-29,2018-07-27,$0.82
BNS,2018-04-02,2018-04-26,$0.82
BNS,2017-12-29,2018-01-29,$0.79
BNS,2017-10-02,2017-10-27,$0.79
BNS,2017-06-29,2017-07-27,$0.76
BNS,2017-03-31,2017-04-26,$0.76
BNS,2016-12-29,2017-01-27,$0.74
BNS,2016-09-30,2016-10-27,$0.74
BNS,2016-06-30,2016-07-27,$0.72
BNS,2016-04-01,2016-04-27,$0.72
BNS,2015-12-31,2016-01-27,$0.70
BNS,2015-10-02,2015-10-28,$0.70
BNS,2015-07-02,2015-07-29,$0.68
BNS,2015-04-02,2015-04-28,$0.68
BNS,2015-01-02,2015-01-28,$0.66
BNS,2014-10-03,2014-10-29,$0.66
BNS,2014-06-27,2014-07-29,$0.64
BNS,2014-03-28,2014-04-28,$0.64
BNS,2014-01-03,2014-01-29,$0.62
BNS,2013-09-27,2013-10-29,$0.62
BNS,2013-06-27,2013-07-29,$0.60
BNS,2013-03-28,2013-04-26,$0.60
BNS,2012-12-28,2013-01-29,$0.57
BNS,2012-09-28,2012-10-29,$0.57
BNS,2012-06-28,2012-07-27,$0.55
BNS,2012-03-30,2012-04-26,$0.55
BNS,2011-12-29,2012-01-27,$0.52
BNS,2011-09-30,2011-10-27,$0.52
BNS,2011-06-30,2011-07-27,$0.52
BNS,2011-04-01,2011-04-27,$0.52
BNS,2010-12-30,2011-01-27,$0.49
BNS,2010-10-01,2010-10-27,$0.49
BNS,2010-07-02,2010-07-28,$0.49
BNS,2010-04-01,2010-04-28,$0.49
BNS,2009-12-31,2010-01-27,$0.49
BNS,2009-10-02,2009-10-28,$0.49
BNS,2009-07-03,2009-07-29,$0.49
BNS,2009-04-03,2009-04-28,$0.49
BNS,2009-01-02,2009-01-28,$0.49
BNS,2008-10-03,2008-10-29,$0.49
BNS,2008-06-27,2008-07-29,$0.49
BNS,2008-03-28,2008-04-28,$0.47
BNS,2007-12-28,2008-01-28,$0.47
BNS,2007-09-28,2007-10-26,$0.45
BNS,2007-06-28,2007-07-27,$0.45
BNS,2007-03-30,2007-04-27,$0.42
BNS,2006-12-28,2007-01-26,$0.42
BNS,2006-09-29,2006-10-27,$0.39
BNS,2006-06-29,2006-07-27,$0.39
BNS,2006-03-31,2006-04-27,$0.36
BNS,2005-12-29,2006-01-27,$0.36
BNS,2005-09-30,2005-10-27,$0.34
BNS,2005-06-30,2005-07-27,$0.34
BNS,2005-04-01,2005-04-27,$0.32
BNS,2004-12-30,2005-01-27,$0.32
BNS,2004-10-01,2004-10-27,$0.30
BNS,2004-07-02,2004-07-27,$0.30
BNS,2004-04-02,2004-04-27,$0.25
BNS,2004-01-02,2004-01-27,$0.25
BNS,2003-10-03,2003-10-27,$0.22
BNS,1999-12-30,2000-01-27,$0.12
BNS,1999-10-01,1999-10-27,$0.12
